CVE_PROD,DESC1,DESC2,TRANS
COL92,"DICLOFENACO, 2.32% G, TUBO, 100GR",,3
COL93,"HIDROCORTISONA, CREMA, 2.5 % TUBO 60G.",,3
COL94,"TERBINAFINA, 1G, 30 G, CREMA",,3
AMS70,"HIERRO DEXTRANO, INY 100 MG, 3 AMP. (IRONDEX)",,3
JAL54,ARNICA GEL,,3
JAL57,"BOTIQUIN ,PRIMEROS AUXILIOS, JAL.",,1
JAL58,"VENDA ELASTICA, 25CM, 1 PZA. JAL.",,1
VAR108,TRAMADOL 50 MG C/10 (LAB.  SBL PHARMACEUTICALS),,3
VAR109,TRAMADOL 50 MG C/60 (LAB. SBL  PHARMACEUTICALS),,3
NOV76,"TEOFILINA, AMBROXOL, 0.700G-0.150G/100ML 150ML",,1
MAV204,"BETAMETASONA/INDOMETACINA,50/500 MG, TUBO C/60 GR",,1
SNA37,"VITAMINA C Y CALCIO, 30 TABS.743MG",,3
COL95,"AMOXICILINA, AMBROXOL, 500MG/30MG, 16 CAPS.",,3
COL96,"PREDNISONA, 5MG, 30 TABS.",,3
LIF45,"CLORANFENICOL, SUSPENSION",,1
MAV205,"CELECOXIB, 200MG, 10CAPS. (MAVER)",,1
VAR110,CEPILLO DE DIENTES ADULTO C/2,,1
VAR111,CEPILLO DE DIENTES INFANTIL C/1 P,,1
VAR112,CEPILLO DE DIENTES SET DE VIAJE,,1
VAR113,"TOALLITA HUMEDA C/80 PIEZAS
BEBE",,1
VAR114,CINTA  ADHESIVA MICROPOROSA BCA 2.5cmX9.14 M CAJA C/12 PIEZAS,,1
VAR115,CINTA  ADHESIVA MICROPOROSA PIEL  2.5cmX9.14 M CAJA C/12 PIEZAS,,1
VAR116,CORTA UÑAS CHICO (PHARMA&PHARMA),,3
VAR117,CORTA UÑAS GRANDE (PHARMA&PHARMA),,3
VAR119,LIMAS C/5 PZAS,,1
VAR118,FERULA METALICA P/DEDOS 2 PIEZAS (LAB. PHARMA&PHARMA),,3
VAR120,HILO DENTA C/2 PZAS,,1
SNA38,ALCACHOFA 250MG C/30 CAPS,,1
SNA39,"GORDOLOBO, EUCALIPTO C/50 CAPS",,1
SNA40,"UVA URSI 135MG, COLA DE CABALLO 105MG, CAPSULAS C/60",,1
ULTR60,"BUTILHIOSCINA, 10MG, 10 TABLETAS",,3
FAR34,"VITAMINA B1, B12, B6, 30 TABS.",,3
FAR35,"DESLORATADINA, 50MG, 120ML, SUSP.",,1
MAV206,"CLONIXINATO DE LISINA, BUTILHIOSCINA, 125/10MG, 20 TABS.
",,3
MAV207,PARCHE TERMICO (DISMINUYE COLICO MENSTRUAL,,1
KEN14,"AMLODIPINO, 5MG, 30 TABS. KENER",,3
KEN16,"CINARIZINA, 75MG, 60 TABS.",,3
KENER3,"VITAMINA B1, B12, B6, 30 TABS.",,1
KEN13,"DOXICICLINA EQUIVALENTE A 100 MG DE DOCICILINA, EXCIPIENTE CBP 1 CAPSULA",,3
KEN7,"LISINOPRIL, 10mg. 30 TABS",,3
KENER6,"LOSARTAN, 50MG, 30 TABS.",,1
KEN12,"METOPROLOL, 100MG, 20 TABS.",,3
KEN22,"SENOSIDOS A-B,  TABS 8.6MG.  CAJA C/20 (KENER)",,3
KEN9,"NITRFURANTONIA, 100MG, 40CAPS.",,3
KEN18,"OMEPRAZOL, 20MG, 14CAPS",,3
KEN17,"BIFONAZOL, 1G, 20G, CMA.",,3
KEN10,PRAVASTATINA TAB 10MG. CAJA C/30,,3
KEN20,OMEPRAZOL INY,,3
KENER12,"SERTRALINA, 50 MG, 14 TABS.",,1
KEN21,VINAGRE DE QUASSIA 120 ML,,1
KENER14,VINAGRE DE QUASSIA 120ML. SHAMPOO.,,1
KENER17,VINAGRE DE QUASSIA AMARA REPELENTE 120 ML,,1
VAR121,CEPILLO DE DIENTES ADULTO C/3,,1
VAR122,CEPILLO DE DIENTES JUNIOR C/2  PZAS,,1
VAR123,PALILLO DENTAL C/HILO DENTAL C/40 PZAS,,1
VAR124,CEPILLO DE DIENTES INFANTIL C/2 PZAS,,1
VAR125,PAÑUELOS DESECHABLES C/1 PAQUETES,,1
VAR126,TOALLITA HUMEDA PEBBE KIDS C/80 PIEZAS,,3
VAR127,VENDITAS ADHESIVAS ADULTO CAJA 100 PZAS. PHARMA,,1
VAR128,VENDITAS ADHESIVAS INFANTIL CAJA 100 PZAS. PHARMA,,1
VAR129,VENDITAS ADHESIVAS ADULTO VARIOS TAMAÑOS  CAJA 100 PZAS. PHARMA,,1
VAR130,CUBREBOCAS 3CAPAS NEGRO BOLSA C/50,,3
VAR131,CUBREBOCAS C/50 (ROSA) TRIPLE CAPA,,1
VAR132,GUANTE LATEX MULTIUSOS CHICO PAQ C/10 PIEZAS,,1
VAR133,GUANTE LATEX MULTIUSOS MEDIANO PAQ C/10 PIEZAS,,1
VAR134,GUANTE LATEX MULTIUSOS  GRANDES PAQ C/10 PIEZAS,,1
VAR135,COFIA BLANCA DESECHABLE PAQUETE C/10 PIEZAS,,1
VAR136,COFIA AZUL DESECHABLE PAQUETE CON 10 PIEZAS,,1
SNA41,"SALUDOL,MENTOL, ARNICA., CALENDULA Y SABILA GEL TOPICO TUBO 100G",,3
GRIN9,CLORANFENICOL 5G SOLUCION,,1
GRIN10,"CROMOGLICATO DE SODIO SOLUCION ,4 %, 5ML,GTS.   (GRIN)",,3
NIP14,AGUJA HIPODERMICA 21G X 1.1/14 VERDE,,1
NIP15,AGUJA HIPODERMICA 22G X 1.1/14 NEGRA,,1
KEN23,SIMVASTATINA TAB 20MG. CAJA C/30 KENER,,3
ULTR61,"AMLODIPINO, 5MG, FRASCO 100 TABS. ULTRA",,3
FAR36,"RANITIDINA SINHCLORAN 150mg, 20 TABLETAS.",,1
BRU91,"AMOXICILINA, BROMHEXINA, 250MG,8 MG/5ML 90 ML, SUSP.",,1
AMS71,"TIAMINA/PIRIDO/HIDROXOC/.CIANOCOB/DEXA. 100MG/100MG/4MG, 3INY.",,1
LAND13,"PANTOPRAZOL, 40 MG, 28 TABS.",,3
NIP16,MEDIDOR DE GLUCOSA EN LA SANGRE (GLUCOMETRO),,3
NIP17,PRESTIGE SUAVE LANCETAS  CAJA/100 PZAS. (NIPRO) GLUCOMETRO,,3
NIP18,TIRAS REATIVASPARA GLUCOSA EN SANGRE C/50  GLUCOMETRO,,3
NIP19,JERINGA  3ML  25GX5/8''   C/100 NARANJA,,3
NIP20,AGUJA HIPODERMICA 30G X1/2 AMARILLA,,1
NIP21,"JERINGA  10ML 21G x1 1/4''  C/100
(VERDE) NIPRO

",,3
NIP22,"JERINGA  10ML 22G x1 1/4''  C/100
(NEGRA) NIPRO

",,3
BIOM42,"CIPROFLOXACINO, 500 MG, 12 TABS. BIOMEP",,3
BIOM43,"OMEPRAZOL, 20MG, C/14 CAPS. BIOMEP",,3
ALPH19,"FENAZOPIRIDINA, 100MG, 20 TABS. ALPHARMA",,3
ULTR62,"TIAMINA (VITAMINA B1)PIRIDOXINA (VITAMINA B6),CIANOCOBALAMINA",,3
ULTR63,"REDUPREC CAPTOPRIL, 25MG, C/100 TABS.",,1
NIP23,"JERINGA INSULINA, 30X13 1ML. 100 PZAS.",,1
CMD52,"AESCULUS,HIPPOCASTANUM,RUSCUS ACULEATUS, C/30 CAPS PREVENCIOS Y TRATAMIENTO HEMORROIDES",,3
KENER19,"DOXICICLINA, 100 MG, C/10 CAPS (BIUM)",,1
CMD53,"PICOSULFATO DE SODIO, 5MG, 20 TABS.",,3
ALPH20,"VALPROATO DE MAGNESIO, 200MG. 40 TABS. (ALPHARMA)",,3
CMD54,"LEPIDIUM MEYENII, 0.5735 G, CMD",,3
ACO17,"TELMISARTAN,HIDROCLO, 80/125MG, 14 TABS",,3
ACO18,"TELMISARTAN,HIDROCLO, 80/125MG, 28 TABS",,1
VAR137,COSTALES TERAPEUTICOS CHICOS kostalitos costalitos,,1
VAR138,COSTALES TERAPEUTICOS GRANDE kostalitos costalitos,,1
VAR139,ANTIFAZ TERAPEUTICOS ESTANDAR kostalitos costalitos,,1
MAV208,"BROMURO DE IPRATROPIO, 0.5 MG, SALBUTAMOL, 2.5 MG, 10 AMP. NEBULIZAR.",,3
FAR37,"CEFALEXINA, 250 MG  5 ML,  SUSP. VITAE",,1
MAV209,"AMLODIPINO, 5 MG, 10 TABS.",,1
FAR38,"DIFENHIDRAMINA, 25MG., 10 CAPS.",,3
MAV210,"BENZOCAINA GEL 01 G, TUBO C/10 MG MAVER.",,3
FAR39,"AMBROXOL, DEXTROMETORFANO, 400/400 MG,  GOTAS VITAE",,3
JAYOR46,"JERINGA NEGRA,22X32, 10ML. 100 PZAS. JAYOR",,3
KENER20,FLUCONAZOL  CAPS    150MG C/ 1,,1
NIP24,JERINGA 20 ML C/50 NIPRO,,3
MAV211,"MONTELUKAST,MAST. 5 MG, 20 TABS.",,1
MAV212,"AMANTADINA, CLORFENAMINA, PARACETAMOL, .50mg -3mg- 300mg,  c/24 CAPS.",,1
MAV213,"AMANTADINA, CLORFENAMINA, PARACETAMOL, 2.5/0.1/15G, 30ML, GOTAS",,3
MAV214,CORIVER 650MG C/24 TABS,,3
MAV215,"AMOXICILINA, 250MG, 75ML, SUSP.",,1
MAV216,EZETIMIBA,,1
MAV217,"CITRATO DE POTASIO, ACIDO CITRICO, 30-5G/100ML,150ML",,3
MAV218,"LORATADINA,  10MG, 20 TABS.",,3
FAR40,"AMBROXOL, DEXTROMETORFANO SUSP 113/113MG,FRASCO 150 ML",,3
HORM18,GUAYACOL100MG C/10,,3
MAV219,"MONTELUKAST,10 MG, 30 TABS.",,3
BIOM44,"PARACETAMOL, 750MG, 10 TABS quitadol.",,1
IQF26,"PARAC/CAFEÍ/FENIL/CLORF 10 TABS, 500MG/25MG/5MG/4MG",,3
IQF27,"METAMIZOL, 500MG, 10 TABS.",,3
IQF28,"AMBROXOL, 30MG, 20 TABS.",,1
IQF29,"PREDNISONA, 5MG, 20 TABS.",,1
IQFA29,"KETOCONAZOL, 200MG, 10 TABS.",,1
WERM12,"LANSOPRAZOL, 30MG, 14 CAPS.",,3
WERM13,"FLUOXETINA, 20MG, 14 CAPS         
",,3
WERM14,"FLUOXETINA, 20MG., 28 CAPS",,3
VAR140,"MOXIFLOXACINO, 400MG 7 TABS ( CAMBER)",,3
VAR141,"QUETIAPINA, 25MG, 30 TABS (CAMBER)",,3
MVI73,"SILDENAFIL 100MG, 20 TABS. EDEGRA",,3
MVI76,"AMBROXOL,LEVODOPROPIZINA, 300/600 MG, 120 ML. DIZOLVIN",,3
MVI77,"LEVODROPROPIZINA, 600MG, 120ML.",,3
FAR41,"CIPROFLOXACINO, 500 MG, 8 TABS.",,3
FAR42,"DIMENHIDRINATO, 50MG,  20  CAPS.",,3
FAR43,"NITAZOXANIDA, 500MG, 6  CAPS.",,1
MAV220,"DEFLAZACORT, 6MG, 20 TABS.                                                                                                                                                                                                                           MAVER",,3
MAV221,"DEFLAZACORT, 30MG, 10 TABS.                                                                                                                                                                                                                           MAVE",,3
BIOM45,"DICLOXACILINA, 500MG, 20 CAPS
(WANDEL)",,3
BIOM46,"AMPICILINA, 250MG, SUS 60 ML, (WANDEL)",,3
BIOM47,"AMPICILINA, 500MG, SUS 60 ML, (WANDEL)",,3
BIOM48,"AMOXICILINA, 250MG, 75ML SUSP.
(WANDEL)",,3
BIOM49,"PARACETAMOL/NAPROXENO,300/275MG. 10 TABS",,3
BIOM50,"LORATADINA,  10MG, 10 TABS.",,3
BIOM51,"LORATADINA,  10MG, 20 TABS.",,3
BIOM52,"METAMIZOL SODICO, 500MG, 10 TABS BIOMEP",,3
BIOM53,"BROMHEXINA, 80MG/100ML SUSP.",,3
MAV222,"DICLOXACILINA, 500 MG, 20 CAPS.",,1
ULTR64,"TELMISARTAN, 80 MG, HIDROCLOROTIAZIDA, 12.5 MG. 14
 TABS.",,3
ULTR65,"AMANTADINA, CLORFENAMINA, PARACETAMOL, 50/3/300MG, 24 CAPS  ROSEL",,1
ULTR66,"QUETIAPINA, 100MG, 60 TABS",,3
VAR142,"OMEPRAZOL, INY, 40 MG, AGUA DILUYENTE 10ML. 1 AMP.   PHARMAGEN",,1
JAL59,"AGUA OXIGENADA, 224ML. JAL.",,3
COL97,"CEFTRIAXONA, 1G/3.5ML, 2ML. AMP.    (TRAXICOLL)",,3
DKT33,"ENOSTIM Y MACA, CONTIENE 1 SOBRE C/10GR DE POLVO Y 1 CAPS DE 654 MG",,1
MAV223,"TELMISARTAN-HIDROCLOROTIAZIDA 80/12.5MG, 14 TABS.",,3
NAT44,"SUPLEMENTO ALIMENTICIO A BASE DE PLANTAS Y HIERBAS , 60/30 TABS.  DIA Y NOCHE",,1
LAND14,"PIOGLITAZONA, 15MG, 7 TABS.",,1
MAV224,"IBUPROFENO, 600MG, 10 TABS.",,3
MAV225,"IBUPROFENO, 800MG, 10 TABS.",,3
MAV226,CORIVER 750MG C/10 TABS,,3
AMB12,GUANTE MEDIANO** ESTERIL C/100PZ AMBI,,1
AMB13,GUANTE MEDIANO NITRILO C/100 PZ AMBI,,1
RAAM15,FLUNARICINA 5MG C/20 TABS,,3
RAAM32,"TRAMADOL, PARACETAMOL, 37.5/325MG, 20 TABS.",,3
RAAM33,"ACIDO ACETILSALICILICO, 100MG., 28 TABS., MIDOLEN",,3
ULTR67,"SILDENAFIL 100MG, 4  SOBRES (GEL)",,1
ULTR68,"SILDENAFIL 100MG, 1 SOBRE (GEL)   OSIDEA",,1
MEG1,"IBUPROFENO, 2.0 G, 120 ML, SUSP.",,1
MEG2,"LORATADINA, 100 MG, 60 ML, SOL.",,1
MEG3,"METRONIDAZOL, DIYODOHIDROXIQUINOLEINA, 2.50G/2G, 120 ML, SUSP.",,1
MEG4,"PARACETAMOL, 3.2 G, 120 ML, SOL. ADINOL PROCEDAL",,1
MEG5,"TERBINAFINA, 250 MG, 28 TABS.",,1
MAV227,"IVERMECTINA, 6MG., 2 TABS. IVEXTERM",,3
MAV228,"IVERMECTINA, 6MG., 4 TABS. IVEXTERM",,3
LOE75,"METOCLOPRAMIDA, 10MG, 20 TABS.    LOEFFLER",,3
QUIFA52,"TRAMADOL, PARACETAMOL, 37.5/325MG, 20 TABS.",,3
CMD55,CASSIA ANGUSTIFOLIA 60 MG C/60 COMPRIMIDOS,,1
CMD56,GARCINIA CAMBOGIA C/30 CAPSULAS,,3
ACO19,"TELMISARTAN, 80 MG, 30 TABS",,1
MAV229,"LOSARTAN, HIDROCLOROTIAZIDA, 100/12.5MG, 15 COMPS.",,3
MAV230,"BETAHISTINA, 24 MG, 30 TABLETAS (MAVER)
",,3
MAV231,"ITOPRIDA, 50 MG, 30 TABLETAS (MAVER)",,3
VAR143,CLORANFENICOL SOL INY 1G (PISA),,1
CMD57,"KARABELL, COLAGENO, VITAMINAS Y AMINOACIDOS SOBRES",,3
SNA42,"GEL PIOKIDS, 240 G
",,3
RAAM34,"FENAZOPIRIDINA, 100MG, 20 TABS.",,3
RAAM35,"OLANZAPINA, 10MG, 14 TABS.",,3
ULTR69,"SILDENAFIL 100MG, 4 TAB.",,3
ULTR70,"SILDENAFIL 100MG , 8 TAB",,3
ULTR71,"SILDENAFIL 50MG, 4 TAB.
",,1
ULTR72,"SILDENAFIL 50MG , 8 TAB",,3
YPN25,CARTERA C/2 CHICLES    SUPLEMENTO ALIMENTICIO,,1
YPN26,CARTERA C/2 CHICLES SUPLEMENTO ALIMENTICIO,,1
DAN14,"GEL ANTIBACTERIAL, 60ML.",,1
LAND15,TAMSULOSINA 0.4 MG C/60 CAPS,,1
NAT6,"PROBIOTICOS, HIERRO Y ACIDO FOLICO 5G, 6 SOBRES.",,3
MAV232,"AMOXICILINA, AMBROXOL, 500MG/30MG, 12 CAPS.",,3
ACO20,"LEVETIRACETAM, 500 MG, 60 TABLETAS",,1
VAR93,"EUCALIPTO, GORDOLOBO, TOMILLO, SAUCO, PROPOLEO, EQUINACEA, BALSAMO DE TOLU INFANTIL 120ML",,3
VAR94,"EUCALIPTO, GORDOLOBO, TOMILLO, SAUCO, PROPOLEO, EQUINACEA,BALSAMO DE TOLU ADULTO 120ML",,3
VAR95,DEXAMETASONA (LAB. VITALIS),,3
SNA44,SUPLEMENTOS,,3
SNA45,SUPLEMENTOS,,3
VAR96,"INDOMETACINA, DEXAMETASONA 25MG/0.5MG, 30, CAPSULAS",,3
BRU92,"CEFIXIMA, 100 MG, 5 ML, SUSP.",,1
BRU93,"AMANTADINA,CLORFENAMINA,PARACETAMOL.0.05/0.02,/300G.  60ML..",,3
ALPH21,"ACIDO ACETILSALICILICO, 500MG., 20 TABS. ALPHARMA",,3
CMD58,"GLUCOSAMINA, OMEGA 3, CONDROITINA, MANGANESO, MSM 30 TABLETAS",,3
LROY14,"BACTER PLUS 120 ML  microdacin
microdacyn",,3
ALPH22,"VITAMINA A, D2, AMP. INGERIBLE, CAJA C/5 AMP. DE 3ML FRAVIT ADKAN AD-KAN ANADEKIN FRAVIT",,3
VAR144,"ROSUVASTATINA, 10 MG, 30 TABS.",,1
MAV233,HIDROXICLOROQUINA C/20 TABS 200MG,,3
VAR51,CUBREBOCAS KN95 (BLANCO),,3
FAR44,"SILYBUM MARIANNUM, 150 MG, C/20 CAPSULAS CARDO MARIANO",,3
MAV234,"CAPTOPRIL, 25MG, 30 TABS.",,1
AMS72,ELECTROLITOS ORALES SOLUCION REHIDRATANTE CONT. 500ML SABOR FRESA KIWI,,3
AMS73,ELECTROLITOS ORALES SOLUCION REHIDRATANTE CONT. 500ML SABOR LIMA LIMON,,3
ULTR73,"KETOROLACO, SL, 30 MG, 4 TABS SABOR MENTA,",,1
LOE76,"GLIBENCLAMIDA, 5MG, 50 TABS.  LOEFFLER",,3
HORM19,"PARACETAMOL, 500MG, 10 TABS.
HORMONA PORTEM ACETIF QUITADOL CORIVER",,1
ULTR74,"KETOROLACO, SL, 30 MG, 6 TABS SABOR MENTA,",,3
ULTR75,"KETOROLACO, SL, 30 MG, 2 TABS SABOR MENTA,",,3
MVI53,"MAGALDRATO, DIMETICONA, 8G/1G, 250ML, SUSP.",,3
AMB14,GUANTE MEDIANO NITRILO C/100 PZ AMBI,,1
AMB15,GUANTE CHICO EXTRA TEXT C/100 PZ AMBI,,1
AMB16,GUANTE MEDIANO EXTRA TEXT C/100 PZ AMBI,,1
MED4,"PARACETAMOL (MEDLEY), 500 MG, 10 TAB PORTEM ACETIF",,3
SER29,"MONTELUKAST,10 MG, 30 TABS. 
SERRAL",,3
MAV235,"CEFTIBUTENO 36 MG,  30 ML, SUSPENSION, MAVER",,1
VAR146,"OMEPRAZOL, INY, 40 MG, AGUA DILUYENTE 10ML. 1 AMP.   PHARMAGEN",,1
VAR147,"CITALOPRAM, 20 MG, 14 TABS.
MICROMEX",,1
MED1,"LORATADINA, 10 MG, 10 TABS.     
MEDLEY",,1
NAT53,"VITAMINA C, JALEA REAL, ZINC, 30 TABS.",,3
NAT54,CUBRE BOCA* DE TELA,,1
NAT55,"LACTOBACILOS ESPORULADOS, 40 GOMITAS SABOR ARANDANO",,1
JAYOR47,***MASCARILLA KN95 C/20,,1
FAR45,"METOCARBAMOL, IBUPROFENO 375/200MG, 12 CAPS",,3
QUIFA53,"KETOROLACO, 30MG, 6 TABS, SL.",,1
LOE77,"METFORMINA, GLIBENCLAMIDA, 500/5MG, 40 TABS.  LOEFFLER",,1
LIF52,"HIOSCINA, 20MG, IBUPROFENO, 400 MG, 10 TABS.  LIFERPAL",,3
YPN27,"COLAGENO HIDROLIZADO, VITAMINA A, C, E,1,100KG",,3
SNA46,"GLUCOSAMINA, CONDROITINA, MSM, VITAMINAS, 30 SOBRES.",,3
VAR148,"LOSARTAN, 50MG. 30 TABS.  BIUM",,1
DKT34,"PRESERVATIVO TRUST CLASICO, 100 PZAS.  C/100 vitrolero",,1
DEG48,"AMBROXOL, CLENBUTEROL, 150MG/0.1MG, 120ML. SUSP.",,3
VAR88,TERMOMETRO CLINICO DIGITAL,,3
ALPH23,"VALPROATO DE MAGNESIO 200MG, SOL 40ML GOTERO",,3
VAR55,CUBREBOCAS KN95  (GRIS),,1
VAR149,TERMOMETRO INFRARROJO SIN CONTACTO,,3
AMS74,"DEXAMETASONA, 8MG, 2ML, 1 INY. REXIPATEN",,3
ALPH12,AZITROMICINA DIHIDRATADA EQUIVALENTE A: 500 MG DE AZITROMICINA EXCIPIENTE CBP 1 TABLETA,,3
VAR150,"DEXAMETASONA 0.5MG, 20 TABLETAS  (ALLEN)",,3
VAR151,"DEXAMETASONA 0.5MG, 20 TABLETAS BEADVANCE (ALLEN)",,3
VAR152,"DEXAMETASONA 1MG, 20 TABLETAS  (ALLEN)",,1
VAR153,CUBREBOCAS TRIPLE CAPA TERMOFORMADO AZUL CON PUENTE,,3
VAR154,CUBREBOCAS KN95 (NEGRO),,1
COL98,"OSELTAMIVIR, 75 MG, 10 CAPS.",,3
VAR155,"OSELTAMIVIR, 75 MG, 10 CAPS.",,3
NAT8,LACTOBACILLUS SPOROGENES CON AVENA (1MILLON DE UFC/TABLETA C/100 TABLETAS MASTICABLES DE .42G C/U,,1
FAR46,"TERBINAFINA, 1G, 15 G, CREMA",,3
VAR156,CUBREBOCAS,,1
VAR157,CUBREBOCAS,,1
VAR158,CUBREBOCAS KN95 (GRIS),,1
JAL60,"KIUTS , TARRO, 200 PZAS.",,1
VAR159,CUBREBOCAS,,1
FAR47,"LEVOCETIRIZINA, 0.5 MG SOLUCION SABOR SANDIA(VITAE)",,3
VAR160,CUBREBOCAS KN95 NEGRO  INDIVIDUAL,,3
VAR161,CUBREBOCAS,,1
COL99,"KETOTIFENO, GOTAS",,3
VAR162,OXIMETRO,,1
ACO21,"METOTREXATO, 2.5 MG, 50 TABLETAS ACCORD",,1
VAR163,CUBREBOCAS      AZUL,,1
MAV236,"CEFALEXINA, 250 MG  5 ML, 100 ML, SUSP.",,3
MAV237,"IBUPROFENO, 100MG, 120ML, SUSP, INF.",,3
VAR164,CUBREBOCAS,,3
VAR165,CUBREBOCAS,,1
KEN2,"DIOSMINA, HESPERIDINA, 450/50 MG, 20 TABS.KENER",,3
KEN24,"SERTRALINA, 50 MG, 14 CAPS KENER",,3
VAR166,ELECTROLITOS,,1
VAR167,ELECTROLITOS,,1
FAR48,"NAPROXENO SODICO, 550MG., 30 BLISTER C/2 TABS.",,1
FAR49,"KL-FULL, 60 CAPS (B1,B2,B6,B12, INOSITOL, ACIDO FOLICO, BIOTINA) GELPHARMA",,3
SNA3,"ALOE VERA,JENGIBRE/HINOJO, 1L. (SALUD NATURAL)",,3
FAR50,"VITAMINAS, MINERALES, LUTEINA, COLAGENO, 30 CAPS  VITAE",,3
FAR51,"ACIDO FOLICO+DHA, 400MCG,1000MCG, 90 TABS. VITAE",,1
MAV238,"ENOXAPARINA SODICA INYECTABLE, 400MG, 0.4 ML, 2 JERINGAS. clexane",,3
FAR52,"ALGIDOL 400MG, 25 CARTERAS C/4 CAPS, IBUPROFENO",,1
VAR168,"ACIDO ASCORBICO, 1GR, 10 TABS, EFERVECENTE VITAMINA C.",,1
VAR169,"CLORURO DE BENZALCONIO, AGUA DESTILADA,",,1
VAR170,"CLORURO DE BENZALCONIO, AGUA DESTILADA,",,1
SNA47,"COLAGENO BIOACTIVO, VITAMINAS C, SABOR MANDARINA",,1
SNA48,"CLOROFILA , 500ML, 50 PORCIONES",,3
HORM20,"CIPROFLOXACINO, 500 MG, 14 TABS.  HORMONA",,3
HISP6,"RETINOL (VIT. A) 3,300UI, CALECALCIFEROL (VIT.D3) 5MCG 200UI, (VIT. E) 40MG, RIVOFLAVINA (VIT. B2) 3.60MG, PIRIDOXINA (VIT. B6) 4mg, ACIDO PANTOTENICO 15MG, TIAMINA (VIT.B1)3MG, ACIDO ASCORBICO100MG, BIOTINA 60MG, (VIT. B12) .005MG, ACIDO FOLICO .40M",,1
KEN6,FENITOINA INY C/1 250MG/5ML (KENER),,3
ULTR76,TADALAFIL 20MG C/1,,3
ULTR77,TADALAFIL 20MG C/4,,1
ULTR78,TADALAFIL 20MG C/8,,3
ULTR79,TADALAFIL 5MG C/28,,1
ULTR80,TADALAFIL 5MG C/14,,3
MAV239,"AMANTADINA,CLORFENAMINA,PARACETAMOL.0.05/0.02,/300G.  60ML..",,1
VAR171,KIT DE PRUEBA SEROLOGICA DE ANTICUERPOS(COVID),,1
NOV77,"AMANTADINA,CLORFENAMINA,PARACETAMOL.50/3/300G, 24 CAPS..",,1
DKT35,"PRESERVATIVO SABOR CHICLE, VETE A LA VERSH, 5 PZAS.",,3
BIOM54,ACIDO ASCORBICO 100MG C/20 TABS BIOMEP,,3
QUIFA54,"SILDENAFIL 100MG, 4 TAB.",,1
QUIFA55,"SUBSALICILATO DE BISMUTO 1.75 G/100 ML  118 ML, SUSP.",,3
JAYOR48,AGUJA HIPODERMICA 21G X 32MM (VERDE),,3
JAYOR49,AGUJA HIPODERMICA 22G X 32MM (NEGRA),,3
JAYOR50,JERINGAINSULINA 0.3ML,,3
VAR172,"POLIVITAMINAS Y MINERALES.
COMPLEMENTO DE VITAMINAS MINERALES FRASCO CON 30 TABS.
(LAB. NUCITEC)",,3
VAR173,"
",,3
VAR174,,,3
MED7,"AMLODIPINO, 5 MG, 30 TABS. MEDLEY",,1
CMD59,"ALOE VERA C/PAPAYA , 500 ML",,1
CMD60,"Goma Arabica 7.69 g, probioticos (Lactobacillus Coagulans) 200 mg, Proteina de Soya 10 g",,1
AMS75,"CITALOPRAM, 20MG, 14 TABS (AMSA)",,3
RAAM36,"PREDNISONA, 5MG, 20 TABS.   RAAM",,3
RAAM37,"PREDNISONA, 20MG, 30 TABS.   RAAM",,1
RAAM38,"KETOROLACO SL, 30 MG, 4 TABS. RAAM",,3
JAYOR51,CAMARA ESPACIADORA DE VOLUMEN 175MG ATOXICO,,3
JAYOR52,CAMARA ESPACIADORA DE VOLUMEN 175MG ATOXICO PEDIATRICA,,3
RAAM39,"CAPTOPRIL, 25 MG, 30 TABS.",,1
ULTR81,"SILDENAFIL 100MG , 20 TAB",,3
MED8,"GLIMEPIRIDA 2 MG, 30 TABS. MEDLEY",,1
ULTR82,"SILDENAFIL 100MG , 20 TAB",,1
JAL61,"ACEITE DE COCO, 120ML.",,1
JAL62,VASELINA BLANCA  60GR,,1
FAR53,"CLOTRIMAZOL, 2%, 20GR, VAG.    
3 APLICADORES",,3
VAR175,"HIDROCORTIZONA, 500MG, 1 INY.
(LAB. DANKEL)",,3
JAYOR53,XENPROF C/5 AMPULAS 200MG/20ML (PROPOFOL,,1
MED9,"GLIMEPIRIDA 4 MG, 30 TABS. MEDLEY",,1
DAN15,ZANCUDIN**GEL 125ML REPELENT/MOSQUIT,,1
WIP23,CLOROPIRAMINA 25MG C/20 TABS,,3
WIP24,"CASTAÑO DE INDIAS, HAMAMELIS, 35 G. GEL CORPORAL",,3
AMS76,"FUROSEMIDA INY, 20MG/2ML, C/5 AMP (AMSA)",,3
MAV240,"MELOXICAM, METOCARBAMOL, 15/215MG, 20 TABS.",,1
WIP25,"BENCIDAMINA, 150MG/100ML, FRASCO 360ML. SOL.",,3
WIP26,"BENCIDAMINA, 150MG/100ML, 30ML. SPRAY",,1
WIP27,"TERBINAFINA, 1% 30 ML",,1
DEG49,"MOXIFLOXACINO, 400MG 7 TABS                                                                                                                                                                                                                        DEGORT´",,1
HISP7,"HIOSCINA, 20 MG, 1ML, 3 AMPULAS",,1
FAR54,"DEREGEL, 1%, 30G, CMA,  VITAE",,3
KEN19,"OMEPRAZOL, 20MG, 120 CAPS.",,3
BIOM55,"ENALAPRIL TABS 10MG, C/30",,1
FAR55,"IBUPROFENO,CAFEINA, 400/100MG., 18 CAPS.  BRISBAL",,1
